timestamp,generation_solar,generation_wind_onshore,generation_wind_offshore,generation_hydro_run_of_river_and_poundage,generation_nuclear,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_biomass,generation_waste,generation_other
2024-12-14 20:00:00,0.0,5955.5,,1174.75,4195.0,56.25,159.75,0.0,1045.75,44.25,296.25
2024-12-14 21:00:00,0.0,6037.5,,1157.5,4194.75,55.75,139.75,0.0,1078.5,42.75,296.25
2024-12-14 22:00:00,0.0,6084.0,,1082.25,4195.25,56.0,124.75,0.0,1052.0,51.5,299.0
2024-12-14 23:00:00,0.0,6047.25,,1061.25,4194.25,55.5,124.0,0.0,1059.25,53.25,295.0
2024-12-15 00:00:00,0.0,5952.75,,1040.0,4194.25,57.75,123.0,0.0,1078.25,52.25,300.25
2024-12-15 01:00:00,0.0,5907.25,,1034.5,4194.5,58.5,124.5,0.0,1083.75,51.75,319.0
2024-12-15 02:00:00,0.0,5774.5,,1049.25,4194.0,59.0,124.0,0.0,1090.5,51.75,318.0
2024-12-15 03:00:00,0.0,5731.75,,1176.75,4195.0,58.0,124.0,0.0,1102.0,51.0,305.75
2024-12-15 04:00:00,0.0,5509.75,,1185.75,4194.5,58.5,123.5,0.0,1106.75,50.75,305.5
2024-12-15 05:00:00,0.0,5280.0,,1202.0,4194.0,59.25,123.5,0.0,1082.5,45.25,314.25
2024-12-15 06:00:00,0.0,5035.25,,1262.75,4182.75,69.0,123.25,0.0,1071.75,44.0,321.5
2024-12-15 07:00:00,1.0,4728.0,,1338.25,4179.5,78.5,123.5,0.0,1109.75,42.25,325.0
2024-12-15 08:00:00,14.75,4267.25,,1369.5,4184.75,81.25,124.0,0.0,1161.0,35.75,339.5
2024-12-15 09:00:00,43.75,4042.5,,1355.75,4171.75,81.25,125.0,0.0,1179.75,35.0,342.5
2024-12-15 10:00:00,50.5,3657.25,,1521.0,4166.25,80.5,134.5,0.0,1163.5,35.0,336.5
2024-12-15 11:00:00,33.5,3365.75,,1547.25,4164.75,78.25,133.0,0.0,1222.5,34.25,345.25
2024-12-15 12:00:00,0.0,3725.5,,1740.25,4164.75,78.75,133.0,0.0,1262.25,31.25,358.0
2024-12-15 13:00:00,0.0,4514.0,,1593.0,4164.25,78.75,133.25,0.0,1232.75,21.75,368.75
2024-12-15 14:00:00,0.0,5104.75,,1570.5,4169.25,79.5,125.75,0.0,1208.5,21.0,373.25
2024-12-15 15:00:00,0.0,5517.5,,1536.75,4169.75,84.75,122.5,0.0,1159.0,21.0,348.0
2024-12-15 16:00:00,0.0,5849.5,,1453.25,4170.25,92.0,121.25,0.0,1082.0,21.0,343.0
2024-12-15 17:00:00,0.0,6088.25,,1357.0,4169.75,94.0,121.0,0.0,1028.0,21.0,348.25
2024-12-15 18:00:00,0.0,6442.75,,1092.0,4169.0,95.0,122.5,0.0,1015.0,21.0,381.75
2024-12-15 19:00:00,0.0,6547.0,,1129.75,4169.75,83.75,123.25,0.0,1010.5,21.0,342.5
2024-12-15 20:00:00,0.0,6610.0,,1147.0,4168.25,77.5,122.75,0.0,1028.25,21.0,337.0
2024-12-15 21:00:00,0.0,6564.25,,1156.75,4169.5,65.0,122.75,0.0,1021.0,21.0,339.0
2024-12-15 22:00:00,0.0,6471.75,,1062.5,4170.0,52.25,122.5,0.0,1007.0,21.0,334.75
2024-12-15 23:00:00,0.0,5760.5,,1068.25,4054.5,53.5,122.5,0.0,1010.25,21.0,331.0
2024-12-16 00:00:00,0.0,5868.25,,1074.25,4034.25,54.75,122.25,0.0,1010.5,21.0,304.75
2024-12-16 01:00:00,0.0,5222.75,,964.5,4033.0,55.0,121.75,0.0,1008.75,21.0,288.75
2024-12-16 02:00:00,0.0,4849.5,,1033.0,4033.75,57.25,120.25,0.0,1004.5,21.0,272.5
